Time,Actual,Horizon_1,Horizon_2,Horizon_3,Horizon_4,Horizon_5,Horizon_6
2023-06-01T00:00:00.0,1.2083860620092015,1.0574454678626273,0.9859536643084001,0.858792989399328,0.7424727606492152,0.6151633997712151,0.517394687490265
2023-06-01T01:00:00.0,1.0740232278122754,1.0066979205848199,0.8882880122621872,0.7587940189024116,0.6184724122566518,0.5070621391335903,0.7797992445728741
2023-06-01T02:00:00.0,0.9619371066322333,0.8687340621600065,0.7080770070674438,0.6232976724605451,0.5252523469162117,0.7060933393869285,0.99509483801761
2023-06-01T03:00:00.0,0.8585076950094922,0.758044966206171,0.6494163400534263,0.5247036187147168,0.7391248599215281,0.9876477921124968,1.2285765423918673
2023-06-01T04:00:00.0,0.7279934343549179,0.6255143430040303,0.4766427324754577,0.7372949962700223,0.9667633836660691,1.251618937248865,1.4420922427277643
2023-06-01T05:00:00.0,0.6091442350986356,0.5283080636487084,0.7659368265157626,1.0182532024574127,1.252525662130652,1.4857612211545879,1.7696047309493552
2023-06-01T06:00:00.0,0.49633170109098257,0.7463537714007287,0.996990020738363,1.249824244046572,1.4609403562161318,1.6766529920742366,1.9923107773883224
2023-06-01T07:00:00.0,0.7502744956032273,1.023784458889167,1.194061110600085,1.4987568924481043,1.7475124919472202,1.9301532424810925,2.2658569235605723
2023-06-01T08:00:00.0,0.9956104880451704,1.2352478421424151,1.4530136768711832,1.7364509243040163,1.9315235483697197,2.2237103233416797,2.4671268624239695
2023-06-01T09:00:00.0,1.2400734710267147,1.494594134830833,1.7303807804469256,1.9627691927645565,2.215397028053614,2.4709155925873185,2.692766331542698
2023-06-01T10:00:00.0,1.4850508812454277,1.7324318695711396,1.9965912429764363,2.147026397426839,2.4899473052616985,2.6945813651494888,2.4215184331487585
2023-06-01T11:00:00.0,1.7221721007098252,1.960775934111793,2.213338236379899,2.4958056173784975,2.6606840241997873,2.4479622617849297,2.0933060218631594
2023-06-01T12:00:00.0,1.968257386182199,2.1902543314021123,2.428377351062946,2.756968287028086,2.3960214899157792,2.15285286118177,1.751421946244616
2023-06-01T13:00:00.0,2.2177817808227536,2.440855339328787,2.717883147205166,2.4222843296025975,2.0761936483986685,1.805448628779066,1.5124173779613619
2023-06-01T14:00:00.0,2.4524209577531844,2.6831146627832836,2.395058346119491,2.101468898316579,1.7414805852663418,1.5032867072068425,1.1898732530163527
2023-06-01T15:00:00.0,2.7060014146077385,2.412541109964931,2.128080031641523,1.7855969379581327,1.5448131659965414,1.209277464169737,1.1913874906794149
2023-06-01T16:00:00.0,2.399960238558931,2.0811868100624555,1.7909505518254254,1.56376501009114,1.2225007854671202,1.189953111873544,1.2061590350491687
2023-06-01T17:00:00.0,2.107826113614747,1.8169766010867512,1.547676149174423,1.199598993156818,1.1514653464494573,1.182161893904662,1.2230610045899537
2023-06-01T18:00:00.0,1.800454269032337,1.4603592231156066,1.2084413295609895,1.2176083392444093,1.1833601362222115,1.1789628553658382,1.1177074972940215
2023-06-01T19:00:00.0,1.4968268732522811,1.163141700827631,1.211564894809516,1.2191411436116038,1.2167973823093445,1.2550390299983207,NaN
2023-06-01T20:00:00.0,1.2019025519010715,1.2611336785312846,1.2345240764899925,1.1836066281317648,1.1759295008548416,NaN,NaN
2023-06-01T21:00:00.0,1.198557170448812,1.2454328396544487,1.211489362516764,1.2160686467765338,NaN,NaN,NaN
2023-06-01T22:00:00.0,1.2075305281020459,1.2451175270646564,1.2143252295029376,NaN,NaN,NaN,NaN
2023-06-01T23:00:00.0,1.2072250288918964,1.2057427517626838,NaN,NaN,NaN,NaN,NaN
2023-06-02T00:00:00.0,1.1862090208914193,NaN,NaN,NaN,NaN,NaN,NaN
